pais,marca,modelo,firmware,mac_cm,cm_ip,cliente,virtual,velocidad,capa,seguridad,srvstat,srvrealstat
GT,Thomson,DWG855,ST80.30.06,001e6992308c,10.157.121.43,257584,1151543,4M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923093,10.162.96.234,258579,1131078,512K,Layer2,WPA,0,0
GT,No Marca,No Modelo,ST80.30.06,001e699230a1,10.161.108.211,422774,1120443,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e699233f7,10.159.78.215,231713,1141317,7M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923405,10.159.94.222,459906,1141054,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e6992344b,10.140.66.143,363953,1331042,7M_2M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923475,10.140.98.67,252479,1170345,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e699234d7,10.159.111.158,253814,1141059,7M,Layer3,WPA,1,1
GT,Technicolor,TC7300.B0M,STFA.30.01,001e69923540,10.150.121.114,342103,342103,10M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,001e699235b7,10.164.103.17,231451,1171099,5M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923604,10.158.105.57,259599,1110956,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e6992363c,10.139.92.63,259418,1171725,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923785,10.132.114.178,258634,1131079,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e6992378c,10.161.108.99,259362,1120436,5M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,001e699238c7,10.147.124.82,257944,1151606,5M,Layer3,,1,1
GT,No Marca,No Modelo,ST80.30.06,001e69923929,10.147.67.66,221193,221193,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923945,10.159.77.86,232873,232873,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,001e699239a7,10.159.78.224,256415,256415,5M,Layer3,,0,0
GT,No Marca,No Modelo,ST80.30.06,001e699239f4,10.139.104.152,257922,1171995,8M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,001e699239fb,10.139.114.99,259150,1171987,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923a17,10.138.95.151,1502360,1180251,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923a64,10.138.70.65,258401,258401,2M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,001e69923a72,10.138.74.13,258569,1180203,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923afe,10.159.68.254,469834,1141087,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923b67,10.161.119.22,255283,1120352,15M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923b6e,10.162.91.144,255565,1130901,5M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,001e69923b91,10.132.92.194,256848,1130977,3M,Layer3,WEP,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bcb176,10.139.65.131,1510085,1171980,5M,Layer3,WPA,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bcc4d8,10.129.66.6,242397,242397,10M,Layer2,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bd2256,10.135.82.79,1516757,1516757,10M,Layer3,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bd7cf8,10.164.125.45,1510937,1172149,5M,Layer3,WPA,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2be1fb8,10.133.79.135,364644,0,2M,Layer3,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bf14c2,10.159.69.191,222703,222703,5M,Layer3,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bf17a4,10.131.67.28,471799,1141367,3M,Layer3,WPA,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bf1a8c,10.135.82.82,257309,257309,10M,Layer3,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bf299e,10.162.112.45,259739,1131144,20M_5M,Layer3,WPA,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,0023a2bf2c38,10.131.104.17,279936,279936,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a0d3,10.147.89.160,446402,1475253,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,0024d1b6a112,10.147.82.46,234282,234282,3M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6a127,10.131.104.205,1517368,1141636,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a207,10.132.84.182,1511882,1131289,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a223,10.155.117.189,453896,1141461,7M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a246,10.147.94.139,1511845,1152098,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a254,10.164.68.207,1514250,1172767,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a2cb,10.158.123.127,1511709,1111081,15M_4M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a2d2,10.129.78.95,1512169,1111097,15M_4M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a350,10.164.115.132,1505205,1172344,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a381,10.132.73.10,234934,1131517,20M_5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a3ce,10.138.118.77,1514759,1180345,15M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6a3dc,10.161.113.5,1512155,1120500,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a3f1,10.162.112.125,1510657,1131274,3M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a406,10.139.71.244,240927,1172896,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6a40d,10.162.68.203,1512213,1131212,OnlyVoice,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b3db,10.139.69.213,422144,1393205,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b3f7,10.131.122.206,1513174,1141441,512K,Layer3,WPA,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6b421,10.138.127.118,385092,1182295,10M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b43d,10.134.126.208,204992,204992,1M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6b501,10.139.70.138,1513226,1170824,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b57f,10.162.76.86,1513219,1131410,10M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b5cc,10.135.66.42,334145,1159174,7M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b8dc,10.152.105.4,1513130,1161079,8M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b8f1,10.138.122.27,230245,1180354,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b90d,10.139.116.204,249560,1170231,7M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b914,10.164.96.132,1513974,1172714,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b929,10.152.93.237,1513140,1161106,8M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6b97d,10.132.65.76,257302,1131368,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6bac6,10.161.108.25,234117,1152272,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6bb4b,10.129.127.194,1540677,1114209,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6bb67,10.157.81.242,430748,1152820,5M,Layer2,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6bf8f,10.164.114.111,1513161,1172563,3M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6bfd5,10.139.64.173,495489,1172592,8M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6c0c3,10.159.77.229,1511323,1511323,5M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6c7fb,10.157.116.254,233714,233714,8M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6c809,10.129.111.154,270909,1110452,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6c833,10.157.112.70,1511897,1152113,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6c944,10.159.88.124,258202,1141231,10M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6c98a,10.135.98.209,224973,1152109,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6cc2a,10.153.80.173,1528940,1260078,10M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6cc3f,10.147.67.187,1511473,1152036,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6ccee,10.134.101.231,413848,413848,2M,Layer3,,0,0
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,0024d1b6cd8f,10.135.65.221,1544304,1544304,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6cde3,10.132.123.180,1511320,1131277,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6db18,10.164.115.154,1512114,1172378,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6db34,10.150.125.127,227677,1100289,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6db5e,10.139.66.126,1514580,1172808,8M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6db6c,10.140.87.87,460938,1172721,10M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6db88,10.154.72.47,224729,224729,1M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6db8f,10.158.105.198,234971,234971,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dbea,10.157.118.24,1512566,1152269,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dc14,10.149.77.83,1513201,1152299,1M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dc1b,10.161.86.133,235197,1120571,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dc3e,10.162.94.105,1514320,1111146,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dc45,10.135.91.32,1513757,1152435,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dc68,10.150.70.128,1513829,1100279,10M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dcdf,10.133.82.67,1513979,1170056,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dd48,10.157.74.180,1512818,1152256,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dd64,10.165.119.37,248491,1160400,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dddb,10.162.123.246,1512773,1131475,5M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dde2,10.164.87.212,293078,1173456,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6ddf7,10.139.102.24,1511852,1172307,3M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6de52,10.164.105.6,1512130,1172396,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6de67,10.135.116.88,1512419,1152515,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6de98,10.162.124.251,1512796,1130117,10M,Layer3,,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6dfa2,10.158.92.250,1512074,1111059,5M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6dfbe,10.161.74.161,1515092,1120565,10M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e06d,10.152.89.48,1514078,1172803,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e0b3,10.164.85.238,1504834,1172366,8M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e0c8,10.132.119.232,1516261,1131499,10M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6e177,10.161.97.100,1512783,1120525,10M,Layer3,,1,1
GT,Technicolor,CGA0112,1.1.3,0024d1b6e1f5,10.135.65.205,479488,1152190,OnlyVoice,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e226,127.0.0.1,234022,234022,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e28f,10.152.120.124,1512373,1161028,15M_4M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6e2ff,10.157.111.16,1514018,1152496,10M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e353,10.157.97.118,250448,1154658,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e368,10.139.116.255,1511565,1171829,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e3c3,10.161.115.52,1511955,1111056,3M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e402,10.133.80.133,412183,1172473,7M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e410,10.152.80.0,246221,1161025,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e41e,10.147.71.255,477984,1152659,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e433,10.162.122.223,497523,1130214,20M_5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e43a,10.147.80.119,470714,1152652,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e441,10.162.66.18,212831,212831,2M,Layer3,,0,0
GT,Thomson,DWG855,ST80.30.06,0024d1b6e448,10.164.122.222,260175,1171286,2M,Layer3,WPA2,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e4c6,10.132.91.55,235080,235080,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e4cd,10.140.99.18,1512532,1172886,15M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e4e2,10.150.108.125,1514449,1100294,8M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e4f0,10.162.114.45,1521863,1132582,5M,Layer3,WPA,1,1
